Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value (₹ Lakhs),Premium Value (₹ Lakhs),Open Interest,Change in OI
15-Sep-2026,22-Sep-2026,CE,21700.0,0.0,0.0,0.0,2585.8,0.0,1443.31,0.0,0.0,0.0,0.0,0.0
15-Sep-2026,22-Sep-2026,PE,21700.0,5.9,6.65,3.2,4.9,4.45,4.9,11760905.0,25.5260542,0.004890299999999999,5225805.0,2161770.0
15-Sep-2026,22-Sep-2026,CE,21800.0,0.0,0.0,0.0,2487.95,0.0,1343.68,0.0,0.0,0.0,0.0,0.0
15-Sep-2026,22-Sep-2026,PE,21800.0,7.45,7.5,3.5,5.55,5.2,5.55,4516655.0,9.8484801,0.0021722,991965.0,750360.0
15-Sep-2026,22-Sep-2026,CE,21900.0,0.0,0.0,0.0,2390.45,0.0,1244.27,0.0,0.0,0.0,0.0,0.0
15-Sep-2026,22-Sep-2026,PE,21900.0,6.65,7.9,4.15,6.5,6.0,6.5,2816710.0,6.170150899999999,0.0015559999999999999,763295.0,381290.0
15-Sep-2026,22-Sep-2026,CE,22000.0,1478.0,1478.0,1161.15,1194.45,1190.0,1194.45,5525.0,0.012842300000000001,0.0006873000000000001,8255.0,4615.0
15-Sep-2026,22-Sep-2026,PE,22000.0,9.0,9.5,4.65,7.65,7.0,7.65,12906725.0,28.4035108,0.008715800000000001,4624815.0,2651350.0
15-Sep-2026,22-Sep-2026,CE,22100.0,1380.0,1380.0,1080.75,1099.4,1080.75,1099.4,2470.0,0.0057352,0.0002765,1105.0,975.0
15-Sep-2026,22-Sep-2026,PE,22100.0,9.7,10.95,5.2,9.15,8.7,9.15,2992600.0,6.615975,0.002329,610415.0,309530.0
15-Sep-2026,22-Sep-2026,CE,22200.0,1150.0,1160.0,985.0,988.55,1011.05,988.55,2340.0,0.0054453999999999995,0.00025059999999999997,2210.0,2145.0
15-Sep-2026,22-Sep-2026,PE,22200.0,3.4,13.4,3.4,11.5,10.6,11.5,5571605.0,12.3740492,0.0050861000000000005,1830660.0,684125.0
15-Sep-2026,22-Sep-2026,CE,22300.0,1130.0,1130.0,880.0,907.8,896.0,907.8,4810.0,0.011186900000000001,0.00046060000000000003,7735.0,2015.0
15-Sep-2026,22-Sep-2026,PE,22300.0,11.15,16.3,6.8,14.3,13.6,14.3,6435975.0,14.3594425,0.0072182,1667380.0,1087970.0
15-Sep-2026,22-Sep-2026,CE,22400.0,902.9,902.9,790.0,806.7,790.0,806.7,3185.0,0.007405599999999999,0.00027120000000000003,2535.0,1820.0
15-Sep-2026,22-Sep-2026,PE,22400.0,12.0,20.3,8.0,18.25,17.55,18.25,9121775.0,20.444567199999998,0.011791199999999998,1833975.0,1203605.0
15-Sep-2026,22-Sep-2026,CE,22500.0,1015.0,1015.05,678.2,711.45,715.95,711.45,140855.0,0.32748279999999996,0.010559,89830.0,52455.0
15-Sep-2026,22-Sep-2026,PE,22500.0,13.85,26.35,9.7,24.05,23.0,24.05,16764800.0,37.749115,0.028315,4575675.0,2218515.0
15-Sep-2026,22-Sep-2026,CE,22600.0,879.0,879.0,586.55,626.15,616.0,626.15,25090.0,0.058299399999999994,0.001596,31005.0,10920.0
15-Sep-2026,22-Sep-2026,PE,22600.0,17.55,34.4,11.8,31.2,30.4,31.2,9660495.0,21.8541694,0.021450700000000003,2522845.0,1633190.0
15-Sep-2026,22-Sep-2026,CE,22700.0,795.0,795.0,499.0,534.55,534.05,534.55,34970.0,0.08141090000000001,0.002029,33020.0,11180.0
15-Sep-2026,22-Sep-2026,PE,22700.0,20.6,46.5,14.75,41.8,41.15,41.8,9345115.0,21.241795699999997,0.0283846,3176615.0,790205.0
15-Sep-2026,22-Sep-2026,CE,22800.0,720.95,721.0,415.45,449.55,445.3,449.55,169650.0,0.39513800000000004,0.008336,64155.0,54925.0
15-Sep-2026,22-Sep-2026,PE,22800.0,25.1,62.65,18.85,55.9,55.0,55.9,13483470.0,30.795251,0.0529394,3049280.0,1530100.0
15-Sep-2026,22-Sep-2026,CE,22900.0,624.9,624.9,337.0,367.9,363.15,367.9,210405.0,0.49040849999999997,0.0085811,54925.0,39975.0
15-Sep-2026,22-Sep-2026,PE,22900.0,30.0,84.35,25.4,74.65,74.5,74.65,10082020.0,23.141283700000002,0.0534579,1904240.0,748020.0
15-Sep-2026,22-Sep-2026,CE,23000.0,570.0,604.85,263.45,293.6,290.0,293.6,2594995.0,6.0558339000000005,0.0873454,633100.0,430625.0
15-Sep-2026,22-Sep-2026,PE,23000.0,37.45,113.3,33.85,99.9,99.6,99.9,24260145.0,55.9751841,0.17685060000000002,4747600.0,1915550.0
15-Sep-2026,22-Sep-2026,CE,23100.0,462.6,466.35,201.05,226.8,223.55,226.8,2949180.0,6.8858217,0.0732159,797095.0,577720.0
15-Sep-2026,22-Sep-2026,PE,23100.0,55.0,150.65,43.8,132.3,131.45,132.3,12712115.0,29.4954812,0.1304955,2190305.0,1002235.0
15-Sep-2026,22-Sep-2026,CE,23200.0,381.0,381.0,147.3,167.4,166.8,167.4,14668745.0,34.3018327,0.2703443,3645070.0,3232125.0
15-Sep-2026,22-Sep-2026,PE,23200.0,62.0,196.8,56.4,173.0,172.7,173.0,25666160.0,59.905765300000006,0.36027410000000004,4552925.0,2872025.0
15-Sep-2026,22-Sep-2026,CE,23300.0,335.65,342.0,103.5,119.15,115.7,119.15,21209955.0,49.746651500000006,0.32745630000000003,3667950.0,2912715.0
15-Sep-2026,22-Sep-2026,PE,23300.0,88.0,252.2,75.25,223.7,222.85,223.7,22085765.0,51.8228029,0.36297050000000003,2421510.0,994175.0
15-Sep-2026,22-Sep-2026,CE,23400.0,255.0,274.7,68.9,80.15,78.0,80.15,30174625.0,70.96681559999999,0.3581931,6271525.0,4202900.0
15-Sep-2026,22-Sep-2026,PE,23400.0,115.7,318.1,100.25,285.6,285.05,285.6,20282210.0,47.8599496,0.3995782,2980315.0,595595.0
15-Sep-2026,22-Sep-2026,CE,23500.0,157.65,211.45,45.6,53.0,50.0,53.0,37702405.0,88.9196686,0.3190168,5847075.0,3070730.0
15-Sep-2026,22-Sep-2026,PE,23500.0,112.2,393.15,112.2,355.05,355.0,355.05,15621450.0,37.0866663,0.37625879999999995,2412475.0,220220.0
15-Sep-2026,22-Sep-2026,CE,23600.0,139.0,149.95,28.6,33.95,30.05,33.95,24125920.0,57.0690407,0.1318695,3821155.0,2274155.0
15-Sep-2026,22-Sep-2026,PE,23600.0,181.8,475.9,175.0,436.15,435.0,436.15,4381845.0,10.471584,0.13042979999999998,1012310.0,416455.0
15-Sep-2026,22-Sep-2026,CE,23700.0,99.0,103.55,17.5,20.75,18.5,20.75,21841235.0,51.8388817,0.0751547,3817970.0,2042625.0
15-Sep-2026,22-Sep-2026,PE,23700.0,216.6,566.55,216.6,521.75,525.15,521.75,1890590.0,4.5546598,0.0739615,838175.0,320125.0
15-Sep-2026,22-Sep-2026,CE,23800.0,64.95,70.0,10.8,12.85,11.0,12.85,22289605.0,53.1007227,0.051462799999999996,4165785.0,2009280.0
15-Sep-2026,22-Sep-2026,PE,23800.0,331.6,659.1,330.5,615.85,612.9,615.85,859300.0,2.0868047,0.0416707,605670.0,126815.0
15-Sep-2026,22-Sep-2026,CE,23900.0,45.9,45.9,7.2,9.25,7.3,9.25,14350050.0,34.3171688,0.0205493,2956720.0,997100.0
15-Sep-2026,22-Sep-2026,PE,23900.0,444.0,755.1,387.7,708.75,707.8,708.75,636350.0,1.5547191,0.0338426,490490.0,278850.0
15-Sep-2026,22-Sep-2026,CE,24000.0,30.0,30.0,5.4,6.9,5.75,6.9,25036895.0,60.113548099999996,0.0250001,6869850.0,3612115.0
15-Sep-2026,22-Sep-2026,PE,24000.0,496.9,852.7,496.9,806.25,806.65,806.25,1616290.0,3.9930754999999998,0.11397950000000001,1246765.0,444340.0
15-Sep-2026,22-Sep-2026,CE,24100.0,25.0,25.0,4.05,5.35,4.15,5.35,15131350.0,36.477181,0.0106275,3290365.0,1950000.0
15-Sep-2026,22-Sep-2026,PE,24100.0,591.4,950.0,591.3,903.05,904.85,903.05,161005.0,0.40039949999999996,0.0123774,149565.0,62270.0
15-Sep-2026,22-Sep-2026,CE,24200.0,12.2,13.1,3.35,4.3,3.65,4.3,12774190.0,30.920631099999998,0.0070913,2760680.0,1428115.0
15-Sep-2026,22-Sep-2026,PE,24200.0,686.6,1047.7,686.5,1003.05,1002.4,1003.05,159315.0,0.3996869,0.0141446,191750.0,96135.0
15-Sep-2026,22-Sep-2026,CE,24300.0,8.6,8.85,3.0,3.75,3.2,3.75,17939740.0,43.601793099999995,0.0082249,4768465.0,3444480.0
15-Sep-2026,22-Sep-2026,PE,24300.0,806.0,1132.05,806.0,1106.45,1101.6,1106.45,85670.0,0.2163116,0.0081335,107315.0,52325.0
15-Sep-2026,22-Sep-2026,CE,24400.0,6.2,7.15,2.5,3.05,2.6,3.05,11216205.0,27.371998599999998,0.0044583999999999995,1951040.0,892125.0
15-Sep-2026,22-Sep-2026,PE,24400.0,882.05,1217.7,882.0,1198.15,1205.0,1198.15,100230.0,0.2547562,0.010195,125840.0,74425.0
15-Sep-2026,22-Sep-2026,CE,24500.0,5.45,5.75,2.2,2.65,2.3,2.65,23614045.0,57.8626875,0.0082773,5620225.0,3192605.0
15-Sep-2026,22-Sep-2026,PE,24500.0,1012.1,1339.7,993.65,1298.6,1302.05,1298.6,251875.0,0.6466763,0.0295826,302055.0,160745.0
15-Sep-2026,22-Sep-2026,CE,24600.0,4.0,4.85,1.8,2.1,1.85,2.1,6723470.0,16.541779599999998,0.0020434,762580.0,135655.0
15-Sep-2026,22-Sep-2026,PE,24600.0,1105.0,1441.75,1076.2,1404.05,1414.7,1404.05,34060.0,0.0880758,0.0042882,49465.0,26130.0
15-Sep-2026,22-Sep-2026,CE,24700.0,3.4,3.55,1.45,1.75,1.55,1.75,7043270.0,17.3986355,0.0017586000000000001,1783925.0,821600.0
15-Sep-2026,22-Sep-2026,PE,24700.0,1225.0,1520.0,1220.0,1502.5,1494.25,1502.5,5265.0,0.013729100000000001,0.0007245999999999999,6630.0,4550.0
15-Sep-2026,22-Sep-2026,CE,24800.0,2.75,2.95,1.25,1.4,1.3,1.4,13117975.0,32.5355085,0.0029305,3156985.0,1621490.0
15-Sep-2026,22-Sep-2026,PE,24800.0,1300.0,1631.3,1300.0,1592.65,1604.8,1592.65,32825.0,0.0865426,0.0051366,25415.0,6240.0
15-Sep-2026,22-Sep-2026,CE,24900.0,2.4,2.65,1.15,1.3,1.2,1.3,5964855.0,14.8536901,0.0012011,2350010.0,892515.0
15-Sep-2026,22-Sep-2026,PE,24900.0,1479.7,1717.0,1479.7,1696.5,1717.0,1696.5,2730.0,0.007245700000000001,0.000448,14105.0,1170.0
15-Sep-2026,22-Sep-2026,CE,25000.0,2.25,2.65,1.05,1.2,1.15,1.2,30413890.0,76.0404476,0.0057225999999999996,7803120.0,3700190.0
15-Sep-2026,22-Sep-2026,PE,25000.0,1509.75,1834.55,1502.15,1795.75,1801.5,1795.75,44655.0,0.1190823,0.0074448000000000005,80210.0,41145.0
15-Sep-2026,22-Sep-2026,CE,25100.0,2.1,2.3,1.0,1.1,1.1,1.1,4117230.0,10.334952900000001,0.0007056,1346150.0,459550.0
15-Sep-2026,22-Sep-2026,PE,25100.0,1720.0,1877.0,1720.0,1865.2,1877.0,1865.2,780.0,0.002098,0.0001402,1105.0,780.0
15-Sep-2026,22-Sep-2026,CE,25200.0,2.15,2.4,0.95,1.1,0.95,1.1,6594510.0,16.6192251,0.0010599,1117675.0,13455.0
15-Sep-2026,22-Sep-2026,PE,25200.0,1563.05,1987.05,1563.05,1980.95,1987.05,1980.95,4030.0,0.010871400000000002,0.0007157999999999999,4160.0,3900.0
15-Sep-2026,22-Sep-2026,CE,25300.0,1.75,2.1,0.9,1.0,1.0,1.0,3205215.0,8.1096315,0.00043759999999999996,526305.0,27040.0
15-Sep-2026,22-Sep-2026,PE,25300.0,1806.15,1806.15,1806.15,1806.15,1806.15,2152.89,65.0,0.0001762,1.17e-05,65.0,65.0
15-Sep-2026,22-Sep-2026,CE,25400.0,1.4,1.9,0.95,1.05,1.05,1.05,794170.0,2.0173067000000002,0.0001149,279565.0,88010.0
15-Sep-2026,22-Sep-2026,PE,25400.0,2050.0,2225.0,2045.0,2183.0,2183.0,2183.0,1170.0,0.0032282,0.0002564,1495.0,1170.0
15-Sep-2026,22-Sep-2026,CE,25500.0,1.65,1.95,0.9,1.1,1.0,1.1,6046170.0,15.4185349,0.0008014,1320020.0,170365.0
15-Sep-2026,22-Sep-2026,PE,25500.0,2000.0,2305.0,2000.0,2291.65,2297.65,2291.65,50440.0,0.13930399999999998,0.010682,61750.0,49010.0
15-Sep-2026,22-Sep-2026,CE,25600.0,1.5,1.75,0.9,1.0,0.9,1.0,411450.0,1.0533622999999999,5.03e-05,136370.0,-650.0
15-Sep-2026,22-Sep-2026,PE,25600.0,0.0,0.0,0.0,2130.0,2130.0,2452.55,0.0,0.0,0.0,325.0,0.0
15-Sep-2026,22-Sep-2026,CE,25700.0,1.0,1.7,0.9,1.0,0.95,1.0,183755.0,0.47227220000000003,2.19e-05,43290.0,8255.0
15-Sep-2026,22-Sep-2026,PE,25700.0,0.0,0.0,0.0,1482.25,0.0,2552.44,0.0,0.0,0.0,0.0,0.0
15-Sep-2026,22-Sep-2026,CE,25800.0,1.3,1.45,0.8,0.9,0.8,0.9,1579370.0,4.0749292,0.00015460000000000002,830245.0,810680.0
15-Sep-2026,22-Sep-2026,PE,25800.0,2320.0,2500.0,2301.7,2500.0,2500.0,2652.32,520.0,0.0014675,0.0001259,585.0,520.0
15-Sep-2026,22-Sep-2026,CE,25900.0,1.0,1.1,0.8,0.9,0.8,0.9,379600.0,0.9832004,3.6400000000000004e-05,80210.0,-6695.0
15-Sep-2026,22-Sep-2026,PE,25900.0,0.0,0.0,0.0,1658.45,0.0,2752.21,0.0,0.0,0.0,0.0,0.0
15-Sep-2026,22-Sep-2026,CE,26000.0,0.95,1.05,0.8,0.9,0.8,0.9,2320305.0,6.033003000000001,0.00021,1337180.0,179985.0
15-Sep-2026,22-Sep-2026,PE,26000.0,2500.45,2815.25,2499.25,2790.75,2781.6,2790.75,42575.0,0.12182420000000001,0.0111292,69875.0,39780.0
15-Sep-2026,22-Sep-2026,CE,26100.0,0.95,1.1,0.75,0.85,0.85,0.85,210990.0,0.5507023999999999,1.8500000000000002e-05,292825.0,93405.0
15-Sep-2026,22-Sep-2026,PE,26100.0,0.0,0.0,0.0,1839.95,0.0,2951.98,0.0,0.0,0.0,0.0,0.0
